City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,sola,-13.8833,167.55,80.46,75,99,5.21,VU,1675210207
181,ouesso,1.6136,16.0517,77.43,52,88,2.42,CG,1675210208
182,caravelas,-17.7125,-39.2481,76.75,81,48,6.26,BR,1675210209
183,clyde river,70.4692,-68.5914,-27.17,75,0,4.61,CA,1675209929
184,pangai,-19.8,-174.35,82.11,76,99,11.07,TO,1675210209
185,zalantun,48.0,122.7167,5.95,89,100,5.46,CN,1675210210
186,namibe,-15.1961,12.1522,71.91,82,99,3.71,AO,1675209948
187,belaya gora,68.5333,146.4167,-11.4,100,100,3.91,RU,1675210210
188,kavieng,-2.5744,150.7967,83.66,71,100,7.9,PG,1675210211
189,upernavik,72.7868,-56.1549,-2.42,94,100,15.12,GL,1675210211
190,honiara,-9.4333,159.95,84.11,72,66,6.71,SB,1675210212
191,ribeira grande,38.5167,-28.7,55.78,82,96,7.0,PT,1675210212
192,maamba,-17.3667,27.15,67.46,92,37,2.53,ZM,1675210213
193,akodia,23.3833,76.6,51.6,74,0,7.61,IN,1675210213
194,cairns,-16.9167,145.7667,84.15,74,100,2.3,AU,1675210049
195,kandrian,-6.2167,149.55,87.57,62,83,12.5,PG,1675210214
196,puerto narino,-3.7703,-70.3831,73.29,96,60,2.3,CO,1675210214
197,greifswald,54.1,13.3833,40.06,100,78,27.47,DE,1675210215
198,bay roberts,47.5999,-53.2648,34.34,93,100,3.83,CA,1675210215
199,provideniya,64.3833,-173.3,21.31,93,100,2.24,RU,1675210216
200,yulara,-25.2406,130.9889,82.04,25,65,14.97,AU,1675210216
201,ulaangom,49.9811,92.0667,-19.16,89,67,2.95,MN,1675210217
202,sangar,63.9242,127.4739,-31.04,97,100,1.34,RU,1675210217
203,itarema,-2.9248,-39.9167,78.93,82,79,11.68,BR,1675209932
204,atambua,-9.1061,124.8925,78.31,83,95,1.95,ID,1675210218
205,roald,62.5833,6.1333,39.76,87,75,8.05,NO,1675210218
206,fayetteville,35.0527,-78.8784,59.88,97,100,4.61,US,1675210161
207,belize,17.25,-88.75,71.13,96,34,3.31,BZ,1675210219
208,maldonado,-34.6667,-54.9167,73.22,95,16,6.38,UY,1675210220
209,hami,42.8,93.45,24.55,32,96,3.22,CN,1675209977
210,nemuro,43.3236,145.575,23.95,60,27,6.82,JP,1675210220
211,ballina,-28.8667,153.5667,81.79,88,67,4.45,AU,1675210221
212,balikpapan,-1.2675,116.8289,76.19,88,75,8.05,ID,1675210221
213,palmer,42.1584,-72.3287,28.81,57,38,1.01,US,1675210222
214,coxim,-18.5067,-54.76,78.13,81,100,3.38,BR,1675210222
215,nioro,13.35,-15.75,74.71,15,26,8.28,GM,1675210222
216,chesapeake,36.819,-76.2749,46.98,96,100,15.99,US,1675210173
217,lichinga,-13.3128,35.2406,62.56,97,100,4.41,MZ,1675210223
218,aleksandrov gay,50.147,48.5704,23.52,81,85,8.16,RU,1675210224
219,sorland,67.667,12.6934,35.46,63,71,10.33,NO,1675210224
220,quatre cocos,-20.2078,57.7625,76.08,81,87,14.25,MU,1675210224
221,maceio,-9.6658,-35.7353,78.71,80,99,9.64,BR,1675210028
222,valladolid,41.5833,-4.6667,39.29,88,5,6.4,ES,1675210225
223,santa cruz,-17.8,-63.1667,71.06,94,75,3.44,BO,1675210226
224,samarai,-10.6167,150.6667,84.36,69,89,3.69,PG,1675210226
225,talnakh,69.4865,88.3972,2.05,96,100,10.29,RU,1675210227
226,sechura,-5.5569,-80.8222,75.31,74,61,12.33,PE,1675210227
227,timra,62.487,17.3257,19.08,93,0,3.44,SE,1675209972
228,nalhati,24.3,87.8167,63.7,61,94,8.59,IN,1675210228
229,baracoa,20.3467,-74.4958,75.58,79,92,12.66,CU,1675210229
230,los llanos de aridane,28.6585,-17.9182,57.13,73,75,10.0,ES,1675210229
231,iquique,-20.2208,-70.1431,71.64,84,99,3.29,CL,1675209959
232,frankfort,-27.2667,28.4833,61.75,88,100,3.29,ZA,1675210230
233,alofi,-19.0595,-169.9187,82.29,83,75,10.36,NU,1675210230
234,sistranda,63.7256,8.834,24.76,67,100,11.63,NO,1675210231
235,grand gaube,-20.0064,57.6608,76.37,84,78,1.01,MU,1675210231
236,new norfolk,-42.7826,147.0587,57.7,61,69,4.0,AU,1675210232
237,port lincoln,-34.7333,135.8667,62.58,77,99,17.81,AU,1675210232
238,saint george,37.1041,-113.5841,41.59,27,0,3.0,US,1675210140
239,brandfort,-28.7001,26.4597,66.67,57,96,7.4,ZA,1675210233
240,hasaki,35.7333,140.8333,44.22,57,23,10.33,JP,1675210233
241,ancud,-41.8697,-73.8203,57.36,71,0,1.54,CL,1675210234
242,smithers,54.7804,-127.1743,23.32,93,100,4.61,CA,1675210234
243,rabo de peixe,37.8,-25.5833,54.91,76,75,3.44,PT,1675210235
244,kosh-agach,50.0,88.6667,-20.34,83,87,2.68,RU,1675210235
245,cururupu,-1.8283,-44.8683,75.31,93,100,3.2,BR,1675210235
246,puerto escondido,15.85,-97.0667,83.23,74,0,6.91,MX,1675210236
247,san quintin,30.4833,-115.95,56.61,59,38,3.83,MX,1675210236
248,otanche,5.6567,-74.1825,67.95,87,58,2.64,CO,1675210237
249,chaoyang,41.5703,120.4586,19.36,36,0,19.86,CN,1675210237
250,brownfield,33.1812,-102.2744,27.95,59,100,5.26,US,1675210238
251,amapa,1.0,-52.0,71.67,98,74,2.71,BR,1675210238
252,charlestown,-32.95,151.6667,80.69,67,45,3.0,AU,1675210239
253,almaznyy,48.0448,40.045,32.04,99,100,4.18,RU,1675210239
254,derzhavinsk,51.1,66.3167,-8.09,94,27,5.64,KZ,1675210240
255,nuevo progreso,23.1667,-97.95,68.65,88,63,11.54,MX,1675210240
256,ekhabi,53.5102,142.9671,-13.07,92,14,8.81,RU,1675210240
257,turukhansk,65.8167,87.9833,3.54,96,100,8.14,RU,1675210241
258,phalaborwa,-23.943,31.1411,71.35,85,70,9.4,ZA,1675210241
259,marhaura,25.9667,84.8667,62.53,82,0,10.98,IN,1675210154
260,gwadar,25.1216,62.3254,67.21,61,0,5.84,PK,1675210242
261,sao filipe,14.8961,-24.4956,71.24,71,62,9.82,CV,1675210242
262,murray,40.6669,-111.888,24.62,61,0,6.91,US,1675210243
263,hobyo,5.3505,48.5268,75.51,75,16,14.14,SO,1675209981
264,kieta,-6.2167,155.6333,83.97,74,98,5.17,PG,1675210244
265,tuatapere,-46.1333,167.6833,72.55,65,100,1.74,NZ,1675210244
266,stornoway,58.2093,-6.3865,41.04,79,75,34.52,GB,1675210244
267,tukrah,32.5341,20.5791,55.31,73,74,21.41,LY,1675210245
268,half moon bay,37.4636,-122.4286,60.48,36,0,13.8,US,1675210039
269,malibu,34.005,-118.8101,66.56,16,0,13.0,US,1675210245
270,doha,25.2867,51.5333,66.18,77,0,10.36,QA,1675210026
271,vila velha,-20.3297,-40.2925,76.95,87,79,3.0,BR,1675210099
272,bakel,14.905,-12.4568,75.16,12,9,9.01,SN,1675210246
273,bairiki,1.3292,172.9752,86.0,79,40,14.97,KI,1675210247
274,poum,-20.2333,164.0167,79.97,61,37,4.0,NC,1675210247
275,victoria,22.2855,114.1577,67.24,83,88,4.0,HK,1675209997
276,ilhabela,-23.7781,-45.3581,79.47,83,100,5.5,BR,1675210248
277,kunming,25.0389,102.7183,47.26,74,0,2.82,CN,1675210248
278,kiruna,67.8557,20.2251,23.92,80,100,9.22,SE,1675210249
279,asifabad,19.3667,79.2833,66.58,51,75,6.6,IN,1675210249
280,pasighat,28.0667,95.3333,60.42,38,35,3.31,IN,1675210249
281,tautira,-17.7333,-149.15,81.28,74,17,13.96,PF,1675210250
282,dunedin,-45.8742,170.5036,64.8,99,96,3.0,NZ,1675210183
283,khandbari,27.3747,87.2039,54.72,43,0,4.36,NP,1675210251
284,bonthe,7.5264,-12.505,76.78,86,76,5.17,SL,1675210251
285,sidi bin nur,35.5333,10.9167,49.91,71,30,11.88,TN,1675210251
286,cidreira,-30.1811,-50.2056,75.56,89,12,7.85,BR,1675210252
287,waingapu,-9.6567,120.2641,82.22,76,72,5.77,ID,1675210252
288,luau,-10.7073,22.2247,60.62,98,85,3.24,AO,1675210253
289,taltal,-25.4,-70.4833,68.52,82,27,3.31,CL,1675210253
290,gallup,35.5281,-108.7426,39.04,52,0,6.91,US,1675209677
291,aykhal,66.0,111.5,-30.68,100,83,5.57,RU,1675210254
292,yamada,39.4667,141.95,37.02,60,40,7.7,JP,1675210254
293,koumac,-20.5667,164.2833,83.37,55,36,5.08,NC,1675210255
294,adrar,20.5022,-10.0711,62.64,12,50,10.29,MR,1675210255
295,outjo,-20.1167,16.15,68.38,53,96,8.75,NA,1675210256
296,hofn,64.2539,-15.2082,28.89,64,86,15.37,IS,1675210256
297,waiuku,-37.25,174.75,77.86,94,100,11.59,NZ,1675210257
298,mae ramat,16.984,98.5166,61.81,73,70,1.19,TH,1675210257
299,lukang,24.0567,120.4352,59.41,70,39,5.1,TW,1675210257
300,pucallpa,-8.3791,-74.5539,80.64,89,75,6.91,PE,1675210258
301,burhaniye,39.5004,26.9727,39.11,60,75,11.5,TR,1675210258
302,mocuba,-16.8392,36.9856,72.07,95,52,0.74,MZ,1675210259
303,sitka,57.0531,-135.33,40.89,70,100,14.97,US,1675210259
304,mangrol,21.1167,70.1167,64.92,46,47,14.97,IN,1675210154
305,bloemfontein,-29.1211,26.214,65.44,66,100,1.57,ZA,1675210247
306,cape coast,5.1053,-1.2466,79.0,86,96,5.37,GH,1675210044
307,mashhad,36.297,59.6062,44.74,70,0,4.61,IR,1675210260
308,mabama,-5.1333,32.5333,64.83,90,85,2.46,TZ,1675210261
309,pisco,-13.7,-76.2167,73.45,78,0,16.11,PE,1675210262
310,iracoubo,5.4802,-53.2011,75.43,87,65,5.95,GF,1675210262
311,pahrump,36.2083,-115.9839,50.25,16,0,1.01,US,1675210214
312,raymond terrace,-32.75,151.75,80.96,65,75,9.22,AU,1675210263
313,yazman,29.1212,71.7446,55.15,44,1,6.49,PK,1675210264
314,shetpe,44.1667,52.1167,32.47,59,94,6.04,KZ,1675210265
315,galveston,29.3669,-94.9669,45.97,91,100,5.99,US,1675209688
316,fairbanks,64.8378,-147.7164,20.61,82,100,4.61,US,1675210232
317,kaitong,44.8135,123.15,16.65,78,100,15.52,CN,1675210266
318,rosarito,32.3333,-117.0333,62.47,46,10,5.88,MX,1675210266
319,salalah,17.0151,54.0924,69.89,64,40,4.61,OM,1675210267
320,gardez,33.5974,69.2259,17.44,80,40,4.38,AF,1675210267
321,muroto,33.2833,134.15,49.12,63,28,8.12,JP,1675210268
322,belmonte,-15.8631,-38.8828,76.96,82,0,7.07,BR,1675210268
323,ingham,42.6,-84.3833,16.16,75,40,3.44,US,1675210269
324,iqaluit,63.7506,-68.5145,-14.31,75,100,15.01,CA,1675210269
325,mont-dore,-22.2833,166.5833,89.58,99,86,4.23,NC,1675210269
326,manakara,-22.1333,48.0167,74.8,87,100,7.27,MG,1675210270
327,jiwani,25.05,61.7417,68.36,61,1,5.99,PK,1675210270
328,iroquois falls,48.7669,-80.6831,11.55,84,100,13.49,CA,1675210271
329,mayor pablo lagerenza,-19.9309,-60.7718,75.15,89,100,2.46,PY,1675210271
